AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ01,15,Chip 2,CSCF PL,20,8,#02675F,1,1,15,15 - AZ01 - 15,29,23 de 29
AZ01,15,Chip 2,MTAS-2 PL,28,8,#FADECE,2,1,15,15 - AZ01 - 15,13,10 de 13
AZ01,15,Chip 2,INFRA,37,3,#000000,0,1,15,15 - AZ01 - 15,0,
AZ01,16,Chip 1,PDRA PL,0,6,#FF7300,1,2,16,16 - AZ01 - 16,12,5 de 12
AZ01,16,Chip 1,SBG PL,6,10,#00A6A6,1,1,16,16 - AZ01 - 16,14,4 de 14
AZ01,16,Chip 1,INFRA,17,3,#000000,0,1,16,16 - AZ01 - 16,0,
AZ01,16,Chip 2,CSCF PL,20,8,#02675F,1,1,16,16 - AZ01 - 16,29,24 de 29
AZ01,16,Chip 2,PDRA PL,28,6,#FF7300,1,2,16,16 - AZ01 - 16,12,9 de 12
AZ01,16,Chip 2,INFRA,37,3,#000000,0,1,16,16 - AZ01 - 16,0,
AZ01,17,Chip 1,INFRA,17,3,#000000,0,1,17,17 - AZ01 - 17,0,
AZ01,17,Chip 2,CSCF PL,20,8,#02675F,1,1,17,17 - AZ01 - 17,29,25 de 29
AZ01,17,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,17,17 - AZ01 - 17,13,12 de 13
AZ01,17,Chip 2,INFRA,37,3,#000000,0,1,17,17 - AZ01 - 17,0,
AZ01,18,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,18,18 - AZ01 - 18,15,4 de 15
AZ01,18,Chip 1,CSCF PL,5,8,#02675F,1,1,18,18 - AZ01 - 18,29,9 de 29
AZ01,18,Chip 1,INFRA,17,3,#000000,0,1,18,18 - AZ01 - 18,0,
AZ01,18,Chip 2,DRA PL,20,6,#FDD835,1,2,18,18 - AZ01 - 18,9,8 de 9
AZ01,18,Chip 2,SBG PL,26,10,#00A6A6,1,1,18,18 - AZ01 - 18,14,12 de 14
AZ01,18,Chip 2,INFRA,37,3,#000000,0,1,18,18 - AZ01 - 18,0,
AZ01,19,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,19,19 - AZ01 - 19,15,5 de 15
AZ01,19,Chip 1,SBG PL,5,10,#00A6A6,1,1,19,19 - AZ01 - 19,14,5 de 14
AZ01,19,Chip 1,INFRA,17,3,#000000,0,1,19,19 - AZ01 - 19,0,
AZ01,19,Chip 2,CSCF PL,20,8,#02675F,1,1,19,19 - AZ01 - 19,29,26 de 29
AZ01,19,Chip 2,PDRA PL,28,6,#FF7300,1,2,19,19 - AZ01 - 19,12,10 de 12
AZ01,19,Chip 2,INFRA,37,3,#000000,0,1,19,19 - AZ01 - 19,0,
AZ01,20,Chip 1,CSCF PL,0,8,#02675F,1,1,20,20 - AZ01 - 20,29,10 de 29
AZ01,20,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,20,20 - AZ01 - 20,13,5 de 13
AZ01,20,Chip 1,INFRA,17,3,#000000,0,1,20,20 - AZ01 - 20,0,
AZ01,20,Chip 2,INFRA,37,3,#000000,0,1,20,20 - AZ01 - 20,0,
AZ01,21,Chip 1,CSCF PL,0,8,#02675F,1,1,21,21 - AZ01 - 21,29,11 de 29
AZ01,21,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,21,21 - AZ01 - 21,13,4 de 13
AZ01,21,Chip 1,INFRA,17,3,#000000,0,1,21,21 - AZ01 - 21,0,
AZ01,21,Chip 2,DRA PL,20,6,#FDD835,1,2,21,21 - AZ01 - 21,9,9 de 9
AZ01,21,Chip 2,SBG PL,26,10,#00A6A6,1,1,21,21 - AZ01 - 21,14,13 de 14
AZ01,21,Chip 2,INFRA,37,3,#000000,0,1,21,21 - AZ01 - 21,0,
AZ01,22,Chip 1,MRF SC+PL,0,17,#FF1493,1,1,22,22 - AZ01 - 22,3,1 de 3
AZ01,22,Chip 1,INFRA,17,3,#000000,0,1,22,22 - AZ01 - 22,0,
AZ01,22,Chip 2,CSCF PL,20,8,#02675F,1,1,22,22 - AZ01 - 22,29,27 de 29
AZ01,22,Chip 2,MTAS-1 PL,28,8,#F7C7AC,1,1,22,22 - AZ01 - 22,13,13 de 13
AZ01,22,Chip 2,INFRA,37,3,#000000,0,1,22,22 - AZ01 - 22,0,
AZ01,23,Chip 1,CSCF PL,0,8,#02675F,1,1,23,23 - AZ01 - 23,29,12 de 29
AZ01,23,Chip 1,DRA PL,8,6,#FDD835,1,2,23,23 - AZ01 - 23,9,5 de 9
AZ01,23,Chip 1,INFRA,17,3,#000000,0,1,23,23 - AZ01 - 23,0,
AZ01,23,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,23,23 - AZ01 - 23,15,13 de 15
AZ01,23,Chip 2,MTAS-2 PL,25,8,#FADECE,2,1,23,23 - AZ01 - 23,13,11 de 13
AZ01,23,Chip 2,INFRA,37,3,#000000,0,1,23,23 - AZ01 - 23,0,
AZ01,24,Chip 1,CSCF PL,0,8,#02675F,1,1,24,24 - AZ01 - 24,29,13 de 29
AZ01,24,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,24,24 - AZ01 - 24,13,6 de 13
AZ01,24,Chip 1,INFRA,17,3,#000000,0,1,24,24 - AZ01 - 24,0,
