AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Requerimiento,Numero
AZ01,19,Chip 2,MRF  SC+PL,20,17,#3F48CC,1,1,19,19 - AZ01 - 19,3,2 de 3
AZ01,19,Chip 2,INFRA,37,3,#000000,0,1,19,19 - AZ01 - 19,0,
AZ01,20,Chip 1,CSCF PL,0,8,#C21807,1,1,20,20 - AZ01 - 20,26,10 de 26
AZ01,20,Chip 1,MTAS PL,8,8,#27408B,1,1,20,20 - AZ01 - 20,24,11 de 24
AZ01,20,Chip 1,INFRA,17,3,#000000,0,1,20,20 - AZ01 - 20,0,
AZ01,20,Chip 2,INFRA,37,3,#000000,0,1,20,20 - AZ01 - 20,0,
AZ01,21,Chip 1,DRA PL,0,6,#FF0033,1,2,21,21 - AZ01 - 21,9,3 de 9
AZ01,21,Chip 1,SBG PL,6,10,#5C4033,1,1,21,21 - AZ01 - 21,12,8 de 12
AZ01,21,Chip 1,INFRA,17,3,#000000,0,1,21,21 - AZ01 - 21,0,
AZ01,21,Chip 2,BGF SC+PL,20,5,#FF1493,1,1,21,21 - AZ01 - 21,13,12 de 13
AZ01,21,Chip 2,CSCF PL,25,8,#C21807,1,1,21,21 - AZ01 - 21,26,23 de 26
AZ01,21,Chip 2,INFRA,37,3,#000000,0,1,21,21 - AZ01 - 21,0,
AZ01,22,Chip 1,BGF SC+PL,0,5,#FF1493,1,1,22,22 - AZ01 - 22,13,7 de 13
AZ01,22,Chip 1,SBG PL,5,10,#5C4033,1,1,22,22 - AZ01 - 22,12,9 de 12
AZ01,22,Chip 1,INFRA,17,3,#000000,0,1,22,22 - AZ01 - 22,0,
AZ01,22,Chip 2,CSCF PL,20,8,#C21807,1,1,22,22 - AZ01 - 22,26,24 de 26
AZ01,22,Chip 2,MTAS PL,28,8,#27408B,1,1,22,22 - AZ01 - 22,24,22 de 24
AZ01,22,Chip 2,INFRA,37,3,#000000,0,1,22,22 - AZ01 - 22,0,
AZ01,23,Chip 1,CSCF PL,0,8,#C21807,1,1,23,23 - AZ01 - 23,26,11 de 26
AZ01,23,Chip 1,MTAS PL,8,8,#27408B,1,1,23,23 - AZ01 - 23,24,12 de 24
AZ01,23,Chip 1,INFRA,17,3,#000000,0,1,23,23 - AZ01 - 23,0,
AZ01,23,Chip 2,MRF  SC+PL,20,17,#3F48CC,1,1,23,23 - AZ01 - 23,3,3 de 3
AZ01,23,Chip 2,INFRA,37,3,#000000,0,1,23,23 - AZ01 - 23,0,
AZ01,24,Chip 1,CSCF PL,0,8,#C21807,1,1,24,24 - AZ01 - 24,26,12 de 26
AZ01,24,Chip 1,MTAS PL,8,8,#27408B,1,1,24,24 - AZ01 - 24,24,13 de 24
AZ01,24,Chip 1,INFRA,17,3,#000000,0,1,24,24 - AZ01 - 24,0,
AZ01,24,Chip 2,BGF SC+PL,20,5,#FF1493,1,1,24,24 - AZ01 - 24,13,13 de 13
AZ01,24,Chip 2,DRA PL,25,6,#FF0033,1,2,24,24 - AZ01 - 24,9,8 de 9
AZ01,24,Chip 2,DRA PL,31,6,#FF0033,1,2,24,24 - AZ01 - 24,9,9 de 9
AZ01,24,Chip 2,INFRA,37,3,#000000,0,1,24,24 - AZ01 - 24,0,
AZ01,25,Chip 1,INFRA,17,3,#000000,0,1,25,25 - AZ01 - 25,0,
AZ01,25,Chip 2,CSCF PL,20,8,#C21807,1,1,25,25 - AZ01 - 25,26,25 de 26
AZ01,25,Chip 2,MTAS PL,28,8,#27408B,1,1,25,25 - AZ01 - 25,24,23 de 24
AZ01,25,Chip 2,INFRA,37,3,#000000,0,1,25,25 - AZ01 - 25,0,
AZ01,26,Chip 1,INFRA,17,3,#000000,0,1,26,26 - AZ01 - 26,0,
AZ01,26,Chip 2,CSCF PL,20,8,#C21807,1,1,26,26 - AZ01 - 26,26,26 de 26
AZ01,26,Chip 2,MTAS PL,28,8,#27408B,1,1,26,26 - AZ01 - 26,24,24 de 24
AZ01,26,Chip 2,INFRA,37,3,#000000,0,1,26,26 - AZ01 - 26,0,
AZ02,1,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,27,27 - AZ02 - 1,24,1 de 24
AZ02,1,Chip 1,INFRA,17,3,#000000,0,1,27,27 - AZ02 - 1,0,
AZ02,1,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,27,27 - AZ02 - 1,24,13 de 24
AZ02,1,Chip 2,INFRA,37,3,#000000,0,1,27,27 - AZ02 - 1,0,
AZ02,2,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,28,28 - AZ02 - 2,24,2 de 24
AZ02,2,Chip 1,INFRA,17,3,#000000,0,1,28,28 - AZ02 - 2,0,
AZ02,2,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,28,28 - AZ02 - 2,24,14 de 24
AZ02,2,Chip 2,INFRA,37,3,#000000,0,1,28,28 - AZ02 - 2,0,
AZ02,3,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,29,29 - AZ02 - 3,24,3 de 24
AZ02,3,Chip 1,INFRA,17,3,#000000,0,1,29,29 - AZ02 - 3,0,
AZ02,3,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,29,29 - AZ02 - 3,24,15 de 24
AZ02,3,Chip 2,INFRA,37,3,#000000,0,1,29,29 - AZ02 - 3,0,
AZ02,4,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,30,30 - AZ02 - 4,24,4 de 24
AZ02,4,Chip 1,INFRA,17,3,#000000,0,1,30,30 - AZ02 - 4,0,
AZ02,4,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,30,30 - AZ02 - 4,24,16 de 24
AZ02,4,Chip 2,INFRA,37,3,#000000,0,1,30,30 - AZ02 - 4,0,
AZ02,5,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,31,31 - AZ02 - 5,24,5 de 24
AZ02,5,Chip 1,INFRA,17,3,#000000,0,1,31,31 - AZ02 - 5,0,
AZ02,5,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,31,31 - AZ02 - 5,24,17 de 24
AZ02,5,Chip 2,INFRA,37,3,#000000,0,1,31,31 - AZ02 - 5,0,
AZ02,6,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,32,32 - AZ02 - 6,24,6 de 24
AZ02,6,Chip 1,INFRA,17,3,#000000,0,1,32,32 - AZ02 - 6,0,
AZ02,6,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,32,32 - AZ02 - 6,24,18 de 24
AZ02,6,Chip 2,INFRA,37,3,#000000,0,1,32,32 - AZ02 - 6,0,
AZ02,7,Chip 1,EPG-U SFOU,0,16,#43A047,1,2,33,33 - AZ02 - 7,24,7 de 24
AZ02,7,Chip 1,INFRA,17,3,#000000,0,1,33,33 - AZ02 - 7,0,
AZ02,7,Chip 2,EPG-U SFOU,20,16,#43A047,1,2,33,33 - AZ02 - 7,24,19 de 24
AZ02,7,Chip 2,INFRA,37,3,#000000,0,1,33,33 - AZ02 - 7,0,
