AZ,Host,Chip,VM,Start,Length,Color,Inst.,Anti-Afinidad,HOST,host_chip,Numero
AZ01,20,Chip 2,SBG PL,26,10,#00A6A6,1,1,20,20 - AZ01 - 20,1 de 1
AZ01,20,Chip 2,INFRA,37,3,#000000,0,1,20,20 - AZ01 - 20,
AZ01,21,Chip 1,CSCF PL,0,8,#02675F,1,1,21,21 - AZ01 - 21,1 de 1
AZ01,21,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,21,21 - AZ01 - 21,1 de 1
AZ01,21,Chip 1,INFRA,17,3,#000000,0,1,21,21 - AZ01 - 21,
AZ01,21,Chip 2,INFRA,37,3,#000000,0,1,21,21 - AZ01 - 21,
AZ01,22,Chip 1,BGF SC+PL,0,5,#3F48CC,1,1,22,22 - AZ01 - 22,1 de 1
AZ01,22,Chip 1,CSCF PL,5,8,#02675F,1,1,22,22 - AZ01 - 22,1 de 1
AZ01,22,Chip 1,INFRA,17,3,#000000,0,1,22,22 - AZ01 - 22,
AZ01,22,Chip 2,PDRA PL,20,6,#FF7300,1,2,22,22 - AZ01 - 22,1 de 1
AZ01,22,Chip 2,SBG PL,26,10,#00A6A6,1,1,22,22 - AZ01 - 22,1 de 1
AZ01,22,Chip 2,INFRA,37,3,#000000,0,1,22,22 - AZ01 - 22,
AZ01,23,Chip 1,CSCF PL,0,8,#02675F,1,1,23,23 - AZ01 - 23,1 de 1
AZ01,23,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,23,23 - AZ01 - 23,1 de 1
AZ01,23,Chip 1,INFRA,17,3,#000000,0,1,23,23 - AZ01 - 23,
AZ01,23,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,23,23 - AZ01 - 23,1 de 1
AZ01,23,Chip 2,DRA PL,25,6,#FDD835,1,2,23,23 - AZ01 - 23,1 de 1
AZ01,23,Chip 2,PDRA PL,31,6,#FF7300,1,2,23,23 - AZ01 - 23,1 de 1
AZ01,23,Chip 2,INFRA,37,3,#000000,0,1,23,23 - AZ01 - 23,
AZ01,24,Chip 1,CSCF PL,0,8,#02675F,1,1,24,24 - AZ01 - 24,1 de 1
AZ01,24,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,24,24 - AZ01 - 24,1 de 1
AZ01,24,Chip 1,INFRA,17,3,#000000,0,1,24,24 - AZ01 - 24,
AZ01,24,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,24,24 - AZ01 - 24,1 de 1
AZ01,24,Chip 2,SBG PL,25,10,#00A6A6,1,1,24,24 - AZ01 - 24,1 de 1
AZ01,24,Chip 2,INFRA,37,3,#000000,0,1,24,24 - AZ01 - 24,
AZ01,25,Chip 1,MTAS-1 PL,0,8,#F7C7AC,1,1,25,25 - AZ01 - 25,1 de 1
AZ01,25,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,25,25 - AZ01 - 25,1 de 1
AZ01,25,Chip 1,INFRA,17,3,#000000,0,1,25,25 - AZ01 - 25,
AZ01,25,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,25,25 - AZ01 - 25,1 de 1
AZ01,25,Chip 2,CSCF PL,25,8,#02675F,1,1,25,25 - AZ01 - 25,1 de 1
AZ01,25,Chip 2,INFRA,37,3,#000000,0,1,25,25 - AZ01 - 25,
AZ01,26,Chip 1,DRA PL,0,6,#FDD835,1,2,26,26 - AZ01 - 26,1 de 1
AZ01,26,Chip 1,SBG PL,6,10,#00A6A6,1,1,26,26 - AZ01 - 26,1 de 1
AZ01,26,Chip 1,INFRA,17,3,#000000,0,1,26,26 - AZ01 - 26,
AZ01,26,Chip 2,CSCF PL,20,8,#02675F,1,1,26,26 - AZ01 - 26,1 de 1
AZ01,26,Chip 2,MTAS-2 PL,28,8,#FADECE,2,1,26,26 - AZ01 - 26,1 de 1
AZ01,26,Chip 2,INFRA,37,3,#000000,0,1,26,26 - AZ01 - 26,
AZ01,27,Chip 1,CSCF PL,0,8,#02675F,1,1,27,27 - AZ01 - 27,1 de 1
AZ01,27,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,27,27 - AZ01 - 27,1 de 1
AZ01,27,Chip 1,INFRA,17,3,#000000,0,1,27,27 - AZ01 - 27,
AZ01,27,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,27,27 - AZ01 - 27,1 de 1
AZ01,27,Chip 2,DRA PL,25,6,#FDD835,1,2,27,27 - AZ01 - 27,1 de 1
AZ01,27,Chip 2,PDRA PL,31,6,#FF7300,1,2,27,27 - AZ01 - 27,1 de 1
AZ01,27,Chip 2,INFRA,37,3,#000000,0,1,27,27 - AZ01 - 27,
AZ01,28,Chip 1,CSCF PL,0,8,#02675F,1,1,28,28 - AZ01 - 28,1 de 1
AZ01,28,Chip 1,MTAS-2 PL,8,8,#FADECE,2,1,28,28 - AZ01 - 28,1 de 1
AZ01,28,Chip 1,INFRA,17,3,#000000,0,1,28,28 - AZ01 - 28,
AZ01,28,Chip 2,DRA PL,20,6,#FDD835,1,2,28,28 - AZ01 - 28,1 de 1
AZ01,28,Chip 2,SBG PL,26,10,#00A6A6,1,1,28,28 - AZ01 - 28,1 de 1
AZ01,28,Chip 2,INFRA,37,3,#000000,0,1,28,28 - AZ01 - 28,
AZ01,29,Chip 1,CSCF PL,0,8,#02675F,1,1,29,29 - AZ01 - 29,1 de 1
AZ01,29,Chip 1,MTAS-1 PL,8,8,#F7C7AC,1,1,29,29 - AZ01 - 29,1 de 1
AZ01,29,Chip 1,INFRA,17,3,#000000,0,1,29,29 - AZ01 - 29,
AZ01,29,Chip 2,BGF SC+PL,20,5,#3F48CC,1,1,29,29 - AZ01 - 29,1 de 1
AZ01,29,Chip 2,SBG PL,25,10,#00A6A6,1,1,29,29 - AZ01 - 29,1 de 1
AZ01,29,Chip 2,INFRA,37,3,#000000,0,1,29,29 - AZ01 - 29,
AZ02,1,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,30,30 - AZ02 - 1,1 de 1
AZ02,1,Chip 1,INFRA,17,3,#000000,0,1,30,30 - AZ02 - 1,
AZ02,1,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,30,30 - AZ02 - 1,1 de 1
AZ02,1,Chip 2,INFRA,37,3,#000000,0,1,30,30 - AZ02 - 1,
AZ02,2,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,31,31 - AZ02 - 2,1 de 1
AZ02,2,Chip 1,INFRA,17,3,#000000,0,1,31,31 - AZ02 - 2,
AZ02,2,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,31,31 - AZ02 - 2,1 de 1
AZ02,2,Chip 2,INFRA,37,3,#000000,0,1,31,31 - AZ02 - 2,
AZ02,3,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,32,32 - AZ02 - 3,1 de 1
AZ02,3,Chip 1,INFRA,17,3,#000000,0,1,32,32 - AZ02 - 3,
AZ02,3,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,32,32 - AZ02 - 3,1 de 1
AZ02,3,Chip 2,INFRA,37,3,#000000,0,1,32,32 - AZ02 - 3,
AZ02,4,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,33,33 - AZ02 - 4,1 de 1
AZ02,4,Chip 1,INFRA,17,3,#000000,0,1,33,33 - AZ02 - 4,
AZ02,4,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,33,33 - AZ02 - 4,1 de 1
AZ02,4,Chip 2,INFRA,37,3,#000000,0,1,33,33 - AZ02 - 4,
AZ02,5,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,34,34 - AZ02 - 5,1 de 1
AZ02,5,Chip 1,INFRA,17,3,#000000,0,1,34,34 - AZ02 - 5,
AZ02,5,Chip 2,EPG-U SFOU,20,16,#1E88E5,1,2,34,34 - AZ02 - 5,1 de 1
AZ02,5,Chip 2,INFRA,37,3,#000000,0,1,34,34 - AZ02 - 5,
AZ02,6,Chip 1,EPG-U SFOU,0,16,#1E88E5,1,2,35,35 - AZ02 - 6,1 de 1
